     1	   4.6376855610806778E-015   7.7571000000000012        100975863.91733557     
     2	   4.6733600653970115E-015   7.8167700000000009        1009758639.1733556     
     3	   4.6971430682755397E-015   7.8565500000000004        10097586391.733557     
     4	   4.8457868362605863E-015   8.1051750000000009        100975863917.33556     
     5	   6.8970708343694798E-015   11.536200000000001        1209718986470.8428     
     6	   9.7510311783213182E-015   16.309800000000003        13996688032402.955     
     7	   2.6815335681299046E-014   44.851950000000009        169960932418652.66     
     8	   1.2604991235483788E-013   210.83400000000003        5818620869419996.0     
     9	   6.8376121777492501E-013   1143.6750000000002        1.8994981676945274E+017
    10	   6.2073559134796262E-012   10382.580000000000        9.7416762795671921E+018
    11	   1.5589716899390952E-011   26075.790000000005        4.9668319771684962E+019
    12	   3.9164447069762479E-011   65507.715000000011        2.4304138046277802E+020
    13	   9.8341660380283577E-011   164490.30000000002        1.1507283601449258E+021
    14	   2.4710031799629872E-010   413314.20000000007        5.2648240198512342E+021
    15	   6.2071274174102869E-010   1038258.0000000001        2.3174378172399636E+022
    16	   1.5588698208443839E-009   2607579.0000000005        9.7527593669375161E+022
    17	   3.9166027870698654E-009   6551766.0000000009        3.9100059685660082E+023
    18	   4.9301569214649304E-009   8247388.5000000009        5.2578524003763536E+023
    19	   9.8383458600681682E-009   16458975.000000002        1.4346699081936730E+024
    20	   1.9627608111286404E-008   32838390.000000004        3.8320668380263117E+024
    21	   3.9162012749836381E-008   65527605.000000015        1.0057723029095135E+025
    22	   7.8147075093975247E-008   130776750.00000003        2.6034529751838037E+025
    23	   1.5591047587357562E-007   260956800.00000003        6.6745212295669367E+025
    24	   1.9630098322512216E-007   328582800.00000006        8.7359754804471633E+025
    25	   3.1110055304882787E-007   520819650.00000000        1.6286239371743395E+026
    26	   4.9302981672627266E-007   825534450.00000012        3.0283642442041210E+026
    27	   6.2060690237111159E-007   1039252500.0000001        4.1280925264981857E+026
    28	   7.8147063332729251E-007   1308762000.0000002        5.0347605771801593E+026
    29	   9.8386325048803763E-007   1647886500.0000002        6.8584647280195687E+026
    30	   1.5588586382529051E-006   2611557000.0000000        1.2716948960077986E+027
    31	   2.4711860384307918E-006   4141098000.0000005        2.3555135851412372E+027
    32	   3.9162242336707823E-006   6564694500.0000010        4.3610161207487002E+027
    33	   4.9304696406206266E-006   8266284000.0000010        5.6605974946560237E+027
    34	   6.2034802274921968E-006   10402470000.000002        7.7002430897430327E+027
    35	   7.8150770439849331E-006   13107510000.000002        1.0477629032851432E+028
    36	   9.8349447804701032E-006   16498755000.000004        1.4246593776656387E+028
    37	   1.2387160832365905E-005   20785050000.000000        1.9375739355958011E+028
    38	   1.5589831229875203E-005   26165295000.000004        2.5024538725348852E+028
    39	   1.9625982018298374E-005   32947785000.000004        3.4032228605842661E+028
    40	   2.4707841831148230E-005   41490540000.000008        4.6268314581627568E+028
    41	   3.1106789859071618E-005   52251030000.000008        5.9476852094421539E+028
    42	   3.9164679778603789E-005   65806065000.000008        8.0870785908620754E+028
    43	   4.9299288268550168E-005   82861740000.000000        1.0997461582414362E+029
    44	   6.2045973835355542E-005   104323050000.00002        1.4946437116250218E+029
    45	   7.8163403631241932E-005   131472900000.00002        2.0324952161384132E+029
    46	   9.8345042999294522E-005   165484800000.00003        2.5964813557089223E+029
    47	   1.0896377563865096E-004   183385800000.00003        2.8912557278647927E+029
    48	   1.2382691339674033E-004   208447200000.00003        3.2891743163541599E+029
    49	   1.5589966626092144E-004   262548000000.00003        4.4720257539256529E+029
    50	   1.9626386500366536E-004   330671250000.00006        5.8146881609982670E+029
    51	   2.4708887232456492E-004   416496600000.00006        7.8161002897663569E+029
    52	   2.5362413740475661E-004   427535550000.00006        7.8232085466028144E+029
    53	   2.6310312749197595E-004   443547000000.00006        7.8881192966173935E+029
    54	   3.0831678575401014E-004   519924600000.00006        8.3500337766966934E+029
    55	   3.8966752823746582E-004   657364500000.00012        9.0958183010352570E+029
    56	   4.6936005586650000E-004   792019800000.00012        9.8287321432663468E+029
    57	   5.7317151355341836E-004   967449600000.00012        1.0827461322911493E+030
    58	   7.0450724860156310E-004   1189422000000.0002        1.2177095349458989E+030
    59	   8.6629958510401727E-004   1462909500000.0002        1.3986677501874921E+030
    60	   3.9695159300589681E-003   6714267300000.0010        6.5749522027077367E+030
    61	   7.9390210741562359E-003   13440269700000.002        1.7541130877221994E+031
    62	   1.1907980913875564E-002   20172438000000.004        3.1322234984324776E+031
    63	   1.5878660791956222E-002   26913159000000.004        4.7578621523957788E+031
    64	   1.9847640721808429E-002   33655869000000.004        6.6185695142941730E+031
    65	   2.3817536706531747E-002   40404546000000.000        8.7095190783373586E+031
    66	   2.7786192534878310E-002   47155212000000.008        1.1030353325577903E+032
    67	   3.1756076966005221E-002   53911845000000.008        1.3581787293910672E+032
    68	   3.5726116471760938E-002   60672456000000.008        1.6366502375441385E+032
    69	   3.9695215515921027E-002   67435056000000.008        1.9388252519118057E+032
    70	   4.3664597421100536E-002   74201634000000.000        2.2648825319677830E+032
    71	   4.7634305032246430E-002   80972190000000.016        2.6154298599227019E+032
    72	   5.1603206096732072E-002   87744735000000.016        2.9906459952502769E+032
    73	   5.5572492294849118E-002   94521258000000.000        3.3914247353190829E+032
    74	   5.9542183191063976E-002   101301759000000.02        3.8177660801291191E+032
    75	   6.3512294201944583E-002   108086238000000.02        4.2703850675752457E+032
