   1.0000000000000000        4.6987951807229617E-015   7.7999999999999998        101000000.00000000     
   115794662.91652711        4.7349397590362049E-015   7.8600000000000003        1010000000.0000000     
   1269452049.8896179        4.7590361445783633E-015   7.9000000000000004        10100000000.000000     
   12677085250.059059        4.9096385542153139E-015   8.1500000000000004        101000000000.00000     
   121137059500.15720        6.9879518070980749E-015   11.600000000000000        1210000000000.0000     
   1017364459510.0081        9.8795180704895967E-015   16.399999999999999        14000000000000.000     
   6076705858546.2881        2.7168674629046008E-014   45.100000000000001        170000000000000.00     
   48723916662269.508        1.2771084035087639E-013   212.00000000000000        5820000000000000.0     
   320672438843886.88        6.9277096450880028E-013   1150.0000000000000        1.9000000000000000E+017
   2085685492452932.0        6.2891485626409843E-012   10440.000000000000        9.7440000000000000E+018
   4300724422116239.0        1.5795138438169989E-011   26220.000000000000        4.9680000000000000E+019
   8585327648535562.0        3.9680506782457180E-011   65870.000000000000        2.4310000000000000E+020
   16611349406130510.        9.9637484102716147E-011   165400.00000000000        1.1510000000000000E+021
   31131846396931592.        2.5035630314172188E-010   415600.00000000000        5.2659999999999995E+021
   56370787898092784.        6.2889175321130810E-010   1044000.0000000000        2.3180000000000001E+022
   98237938022703376.        1.5794108094168641E-009   2622000.0000000000        9.7549999999999992E+022
   1.6513701938517229E+017   3.9682076498435466E-009   6588000.0000000000        3.9109999999999998E+023
   1.8330705708506800E+017   4.9951167262197479E-009   8293000.0000000000        5.2589999999999997E+023
   2.5752344894681549E+017   9.9679847554582038E-009   16550000.000000000        1.4350000000000001E+024
   3.5654105669988422E+017   1.9886244780739429E-008   33020000.000000000        3.8329999999999998E+024
   4.8550349731434170E+017   3.9678074063594443E-008   65890000.000000000        1.0060000000000000E+025
   6.5142429265031731E+017   7.9176911869824529E-008   131500000.00000000        2.6039999999999999E+025
   8.6539138670493171E+017   1.5796486058940697E-007   262400000.00000000        6.6759999999999998E+025
   9.3516553215057498E+017   1.9888765773934121E-007   330400000.00000000        8.7379999999999999E+025
   1.1130429913603430E+018   3.1520051550763826E-007   523700000.00000000        1.6289999999999999E+026
   1.3221730594255380E+018   4.9952785316520591E-007   830100000.00000000        3.0290000000000001E+026
   1.4408584626762291E+018   6.2878595517843501E-007   1045000000.0000000        4.1289999999999999E+026
   1.5180451899283080E+018   7.9177014459372530E-007   1316000000.0000000        5.0360000000000003E+026
   1.6399595843917399E+018   9.9683197380440366E-007   1657000000.0000000        6.8599999999999998E+026
   1.9166317131496090E+018   1.5794085079974109E-006   2626000000.0000000        1.2720000000000000E+027
   2.2394677179427589E+018   2.5037662935498528E-006   4164000000.0000000        2.3560000000000001E+027
   2.6185275582698158E+018   3.9678523904677740E-006   6601000000.0000000        4.3620000000000000E+027
   2.7932239112336691E+018   4.9954743087247284E-006   8312000000.0000000        5.6620000000000003E+027
   3.0106046030092140E+018   6.2852775786072019E-006   10460000000.000000        7.7019999999999997E+027
   3.2461315681414799E+018   7.9181326345680890E-006   13180000000.000000        1.0480000000000000E+028
   3.4999157307955512E+018   9.9646469882149931E-006   16590000000.000000        1.4250000000000001E+028
   3.7747410068635479E+018   1.2550528007743329E-005   20900000000.000000        1.9380000000000001E+028
   4.0147802067687081E+018   1.5795456736527990E-005   26310000000.000000        2.5029999999999998E+028
   4.3178317264484372E+018   1.9884884635040329E-005   33130000000.000000        3.4039999999999999E+028
   4.6462916087586365E+018   2.5033796409770650E-005   41720000000.000000        4.6280000000000001E+028
   4.9273597770461512E+018   3.1517209316522736E-005   52540000000.000000        5.9490000000000003E+028
   5.2875860809040906E+018   3.9681517356129096E-005   66170000000.000000        8.0889999999999994E+028
   5.6776479843868099E+018   4.9949952513520829E-005   83320000000.000000        1.1000000000000001E+029
   6.0073566339784038E+018   5.9932991740148962E-005   100000000000.00000        1.4020000000000001E+029
   7.2064890069073490E+018   1.1972810320148869E-004   200000000000.00000        3.1340000000000000E+029
   8.6727209201568451E+018   2.3912488473761857E-004   400000000000.00000        7.1570000000000000E+029
   9.2285026819062415E+018   4.7769178880941517E-004   800000000000.00000        1.0360000000000000E+030
   9.4739014012169441E+018   5.9692651402109534E-004   1000000000000.0000        1.2570000000000000E+030
   1.0081751386825501E+019   1.1927860363399648E-003   2000000000000.0000        2.1220000000000000E+030
   1.0654122860108220E+019   2.3837459361098850E-003   4000000000000.0000        3.7800000000000001E+030
   1.1454816173452540E+019   4.7638863303479479E-003   8000000000000.0000        8.5270000000000002E+030
   1.1798484050237981E+019   5.9532171855337509E-003   10000000000000.000        1.1620000000000001E+031
   1.3217342785403671E+019   1.1893847744241090E-002   20000000000000.000        3.2619999999999999E+031
   1.5296339111844610E+019   2.3751730716979457E-002   40000000000000.000        9.4070000000000004E+031
   1.8341322900185590E+019   4.7399571230693202E-002   80000000000000.000        2.7460000000000001E+032
   1.9651848184066212E+019   5.9195690334043989E-002   100000000000000.00        3.9290000000000000E+032
   2.0424028310550782E+019   6.9858762267783855E-002   118100000000000.00        4.7728000000000001E+032
   2.1192050081338130E+019   7.9842394429824021E-002   135060000000000.00        5.7585000000000001E+032
   2.2707478392809738E+019   9.9793702255278449E-002   169000000000000.00        8.0558999999999998E+032
   2.4974019604270240E+019  0.12474108866731959        211530000000000.00        1.2357000000000000E+033
   2.7574230951943750E+019  0.14968856538505129        254170000000000.00        1.8468000000000001E+033
   3.0403788838903120E+019  0.17463621627088988        296940000000000.00        2.6341000000000002E+033
   3.3284935062480970E+019  0.19958618622292110        339850000000000.00        3.5620000000000001E+033
