1.5000000000000002	1.5000000000000002	4.21186632659322e15	3.4183538932920533e36
1.25	1.25	3.0223037646752775e15	1.983704800199392e36
1.	1.	2.110041761211777e15	9.307997774406812e35
0.8	0.8	1.5447273047273365e15	4.442179894554408e35
0.7	0.7	1.3026100802848525e15	2.7276071805026207e35
0.6	0.6	1.0838224111297486e15	1.5678135224200908e35
0.5	0.5	8.82007054690072e14	7.809966811579121e34
0.4	0.4	6.945074166824559e14	3.268049231334237e34
0.35	0.35	6.040517708122449e14	2.0832447775971223e34
0.3	0.3	5.152242315951266e14	1.1870282096235745e34
0.25	0.25	4.277259732552901e14	6.85677998703714e33
0.2	0.2	3.4088527104981906e14	5.309051049929001e33
0.175	0.175	2.976287762116503e14	3.882465179610597e33
0.15	0.15	2.546021655375503e14	2.5417144257140178e33
0.125	0.125	2.1177799726715272e14	1.7593486957841714e33
0.1	0.1	1.6911771706271112e14	1.0971906510294564e33
0.08	0.08	1.350930897952787e14	7.52668671377122e32
0.07	0.07	1.1810854813327662e14	6.4774680382173725e32
