     1	   4.7299999999999999E-015   7.8609999999999998        1010000000.0000000     
     2	   4.7600000000000000E-015   7.9000000000000004        10100000000.000000     
     3	   4.9099999999999997E-015   8.1500000000000004        101000000000.00000     
     4	   6.9900000000000004E-015   11.600000000000000        1210000000000.0000     
     5	   9.9000000000000007E-015   16.399999999999999        14000000000000.000     
     6	   2.7200000000000000E-014   48.509999999999998        170000000000000.00     
     7	   1.2699999999999999E-013   212.00000000000000        5820000000000000.0     
     8	   6.9299999999999998E-013   1150.0000000000000        1.9000000000000000E+017
     9	   6.2949999999999993E-012   10440.000000000000        9.7440000000000000E+018
    10	   1.5809999999999998E-011   26220.000000000000        4.9680000000000000E+019
    11	   3.9720000000000000E-011   65870.000000000000        2.4310000000000000E+020
    12	   9.9760000000000000E-011   165400.00000000000        1.1510000000000000E+021
    13	   2.5059999999999999E-010   415600.00000000000        5.2659999999999995E+021
    14	   6.2939999999999992E-010   1044000.0000000000        2.3180000000000001E+022
    15	   1.5809999999999998E-009   2622000.0000000000        9.7549999999999992E+022
    16	   3.9719999999999999E-009   6588000.0000000000        3.9109999999999998E+023
    17	   4.9999999999999993E-009   8293000.0000000000        5.2500000000000003E+023
    18	   9.9759999999999995E-009   16550000.000000000        1.4350000000000001E+024
    19	   1.9900000000000000E-008   33020000.000000000        3.8329999999999998E+024
    20	   3.9720000000000001E-008   65890000.000000000        1.0060000000000000E+025
    21	   7.9239999999999987E-008   131500000.00000000        2.6039999999999999E+025
    22	   1.5809999999999999E-007   262400000.00000000        6.6759999999999998E+025
    23	   1.9900000000000000E-007   330400000.00000000        8.7379999999999999E+025
    24	   3.1549999999999999E-007   523700000.00000000        1.6289999999999999E+026
    25	   4.9999999999999998E-007   830100000.00000000        3.0390000000000002E+026
    26	   6.2939999999999996E-007   1045000000.0000000        4.1289999999999999E+026
    27	   7.9240000000000003E-007   1316000000.0000000        5.0360000000000003E+026
    28	   9.9759999999999999E-007   1657000000.0000000        6.8599999999999998E+026
    29	   1.5810000000000000E-006   2626000000.0000000        1.2720000000000000E+027
    30	   2.5059999999999998E-006   4164000000.0000000        2.3560000000000001E+027
    31	   3.9720000000000003E-006   6601000000.0000000        4.3620000000000000E+027
    32	   4.9999999999999996E-006   8312000000.0000000        5.6620000000000003E+027
    33	   6.2939999999999994E-006   10460000000.000000        7.7019999999999997E+027
    34	   7.9239999999999990E-006   13180000000.000000        1.0480000000000000E+028
    35	   9.9759999999999990E-006   16590000000.000000        1.4250000000000001E+028
    36	   1.2559999999999998E-005   20900000000.000000        1.9380000000000001E+028
    37	   1.5809999999999999E-005   26310000000.000000        2.5029999999999998E+028
    38	   1.9899999999999999E-005   33130000000.000000        3.4039999999999999E+028
    39	   2.5059999999999997E-005   41720000000.000000        4.6280000000000001E+028
    40	   3.1550000000000001E-005   52540000000.000000        5.9490000000000003E+028
    41	   3.9719999999999999E-005   66170000000.000000        8.0889999999999994E+028
    42	   4.9999999999999996E-005   83320000000.000000        1.1000000000000001E+029
    43	   6.2939999999999990E-005   104900000000.00000        1.4950000000000000E+029
    44	   7.9239999999999993E-005   132200000000.00000        2.0330000000000001E+029
    45	   9.9759999999999994E-005   166400000000.00000        2.5970000000000001E+029
    46	   1.1049999999999999E-004   184400000000.00000        2.8920000000000000E+029
    47	   1.2559999999999999E-004   209600000000.00000        3.2899999999999998E+029
    48	   1.5809999999999999E-004   264000000000.00000        4.4729999999999998E+029
    49	   1.9900000000000001E-004   332500000000.00000        5.8159999999999997E+029
    50	   2.5059999999999997E-004   418800000000.00000        7.5379999999999997E+029
    51	   2.5720000000000002E-004   429900000000.00000        7.8050000000000001E+029
    52	   1.2979999999999999E-003   2173590000000.0000        1.8647800000000000E+030
    53	   1.4775999999999999E-003   2474610000000.0000        2.1041200000000000E+030
    54	   1.6571999999999999E-003   2775670000000.0000        2.3544699999999999E+030
    55	   1.8367999999999998E-003   3076760000000.0000        2.6152000000000000E+030
    56	   2.0163999999999998E-003   3377880000000.0000        2.8858000000000001E+030
    57	   2.1959999999999996E-003   3679030000000.0000        3.1658100000000000E+030
    58	   2.3755999999999998E-003   3980200000000.0000        3.4548699999999998E+030
    59	   2.5551999999999997E-003   4281400000000.0000        3.7526400000000001E+030
    60	   2.7347999999999999E-003   4582620000000.0000        4.0588700000000002E+030
    61	   2.9143999999999997E-003   4883860000000.0000        4.3733099999999998E+030
    62	   3.0939999999999995E-003   5185130000000.0000        4.6957799999999999E+030
    63	   3.2735999999999998E-003   5486410000000.0000        5.0261000000000001E+030
    64	   3.4532000000000000E-003   5787720000000.0000        5.3641300000000003E+030
    65	   3.6327999999999998E-003   6089040000000.0000        5.7097400000000000E+030
    66	   3.8123999999999996E-003   6390390000000.0000        6.0628499999999997E+030
    67	   3.9919999999999999E-003   6691750000000.0000        6.4233599999999995E+030
    68	   4.1716000000000001E-003   6993130000000.0000        6.7911999999999995E+030
    69	   4.3511999999999995E-003   7294530000000.0000        7.1663099999999995E+030
    70	   4.5307999999999998E-003   7595940000000.0000        7.5486399999999996E+030
    71	   4.7104000000000000E-003   7897380000000.0000        7.9381699999999999E+030
    72	   4.8899999999999994E-003   8198830000000.0000        8.3348600000000002E+030
    73	   5.0695999999999996E-003   8500290000000.0000        8.7386899999999996E+030
    74	   5.2491999999999999E-003   8801770000000.0000        9.1496500000000002E+030
    75	   5.4288000000000001E-003   9103270000000.0000        9.5677399999999998E+030
    76	   5.6083999999999995E-003   9404790000000.0000        9.9929599999999995E+030
    77	   5.7879999999999989E-003   9706310000000.0000        1.0425300000000000E+031
    78	   5.9676000000000000E-003   10007900000000.000        1.0864799999999999E+031
    79	   6.1471999999999994E-003   10309400000000.000        1.1311399999999999E+031
    80	   6.3267999999999987E-003   10611000000000.000        1.1765300000000001E+031
    81	   6.5063999999999999E-003   10912600000000.000        1.2226300000000001E+031
    82	   6.6859999999999992E-003   11214200000000.000        1.2694600000000000E+031
    83	   6.8655999999999986E-003   11515800000000.000        1.3170100000000001E+031
    84	   7.0451999999999997E-003   11817400000000.000        1.3652900000000000E+031
    85	   7.2247999999999991E-003   12119100000000.000        1.4143000000000001E+031
    86	   7.4043999999999994E-003   12420700000000.000        1.4640500000000001E+031
    87	   7.5839999999999996E-003   12722400000000.000        1.5145299999999999E+031
    88	   7.7635999999999990E-003   13024100000000.000        1.5657599999999999E+031
    89	   7.9431999999999992E-003   13325800000000.000        1.6177400000000000E+031
    90	   8.1227999999999995E-003   13627500000000.000        1.6704800000000000E+031
    91	   8.3023999999999997E-003   13929200000000.000        1.7239599999999999E+031
    92	   8.4819999999999982E-003   14230900000000.000        1.7782099999999999E+031
    93	   8.6616000000000002E-003   14532700000000.000        1.8332300000000000E+031
    94	   8.8411999999999987E-003   14834500000000.000        1.8890200000000000E+031
    95	   9.0207999999999990E-003   15136200000000.000        1.9455799999999999E+031
    96	   9.2003999999999992E-003   15438000000000.000        2.0029300000000000E+031
    97	   9.3799999999999994E-003   15739800000000.000        2.0610599999999999E+031
    98	   9.5595999999999997E-003   16041600000000.000        2.1199899999999999E+031
    99	   9.7391999999999999E-003   16343500000000.000        2.1797100000000000E+031
   100	   9.9187999999999985E-003   16645300000000.000        2.2402300000000001E+031
   101	   1.0098400000000000E-002   16947100000000.000        2.3015600000000002E+031
   102	   1.0277999999999999E-002   17249000000000.000        2.3637100000000002E+031
   103	   1.0457599999999999E-002   17550900000000.000        2.4266699999999999E+031
   104	   1.0637199999999999E-002   17852800000000.000        2.4904600000000001E+031
   105	   1.0816800000000000E-002   18154700000000.000        2.5550800000000000E+031
   106	   1.0996399999999998E-002   18456600000000.000        2.6205399999999998E+031
   107	   1.1175999999999998E-002   18758500000000.000        2.6868300000000001E+031
   108	   1.1355599999999999E-002   19060400000000.000        2.7539799999999999E+031
   109	   1.1535200000000001E-002   19362400000000.000        2.8219700000000000E+031
   110	   1.1714799999999999E-002   19664300000000.000        2.8908300000000002E+031
   111	   1.1894399999999999E-002   19966300000000.000        2.9605499999999998E+031
   112	   1.2074000000000000E-002   20268300000000.000        3.0311400000000000E+031
   113	   1.2253599999999998E-002   20570300000000.000        3.1025999999999998E+031
   114	   1.2433199999999998E-002   20872300000000.000        3.1749500000000002E+031
   115	   1.2612800000000000E-002   21174300000000.000        3.2481800000000000E+031
   116	   1.2792399999999999E-002   21476300000000.000        3.3223100000000002E+031
   117	   1.2971999999999999E-002   21778400000000.000        3.3973299999999999E+031
   118	   1.3151599999999999E-002   22080400000000.000        3.4732599999999998E+031
   119	   1.3331199999999998E-002   22382500000000.000        3.5500999999999998E+031
   120	   1.3510800000000000E-002   22684600000000.000        3.6278600000000001E+031
   121	   1.3690400000000000E-002   22986700000000.000        3.7065399999999998E+031
   122	   1.3869999999999999E-002   23288800000000.000        3.7861399999999998E+031
   123	   1.4049599999999999E-002   23590900000000.000        3.8666800000000002E+031
   124	   1.4229199999999999E-002   23893000000000.000        3.9481600000000000E+031
   125	   1.4408799999999998E-002   24195100000000.000        4.0305800000000000E+031
   126	   1.4588400000000000E-002   24497300000000.000        4.1139500000000002E+031
   127	   1.4768000000000000E-002   24799400000000.000        4.1982799999999998E+031
   128	   1.4947599999999998E-002   25101600000000.000        4.2835600000000004E+031
   129	   1.5127199999999999E-002   25403800000000.000        4.3698200000000004E+031
   130	   1.5306799999999999E-002   25706000000000.000        4.4570500000000000E+031
   131	   1.5486399999999997E-002   26008200000000.000        4.5452500000000002E+031
   132	   1.5665999999999999E-002   26310400000000.000        4.6344399999999996E+031
   133	   1.5845599999999998E-002   26612600000000.000        4.7246199999999999E+031
   134	   1.6025200000000000E-002   26914900000000.000        4.8157900000000003E+031
   135	   1.6204799999999998E-002   27217100000000.000        4.9079599999999997E+031
   136	   1.6384399999999997E-002   27519400000000.000        5.0011399999999997E+031
   137	   1.6563999999999999E-002   27821600000000.000        5.0953300000000001E+031
   138	   1.6743600000000001E-002   28123900000000.000        5.1905300000000002E+031
   139	   1.6923199999999999E-002   28426200000000.000        5.2867600000000004E+031
   140	   1.7102799999999998E-002   28728500000000.000        5.3840099999999999E+031
   141	   1.7282400000000000E-002   29030800000000.000        5.4823000000000003E+031
   142	   1.7461999999999998E-002   29333200000000.000        5.5816199999999998E+031
   143	   1.7641599999999997E-002   29635500000000.000        5.6819800000000000E+031
   144	   1.7821199999999999E-002   29937900000000.000        5.7833899999999999E+031
   145	   1.8000800000000001E-002   30240200000000.000        5.8858600000000001E+031
   146	   1.8180399999999999E-002   30542600000000.000        5.9893799999999999E+031
   147	   1.8359999999999998E-002   30845000000000.000        6.0939600000000000E+031
   148	   1.8539599999999996E-002   31147400000000.000        6.1996200000000000E+031
   149	   1.8719199999999998E-002   31449800000000.000        6.3063400000000003E+031
   150	   1.8898800000000000E-002   31752200000000.000        6.4141500000000002E+031
   151	   1.9078399999999999E-002   32054700000000.000        6.5230399999999999E+031
   152	   1.9257999999999997E-002   32357100000000.000        6.6330100000000004E+031
   153	   1.9437599999999999E-002   32659600000000.000        6.7440800000000003E+031
   154	   1.9617199999999998E-002   32962000000000.000        6.8562399999999997E+031
   155	   1.9796799999999996E-002   33264500000000.000        6.9695100000000002E+031
   156	   1.9976399999999998E-002   33567000000000.000        7.0838899999999999E+031
   157	   2.0156000000000000E-002   33869500000000.000        7.1993799999999996E+031
   158	   2.0335599999999999E-002   34172000000000.000        7.3159800000000002E+031
   159	   2.0515199999999997E-002   34474500000000.000        7.4336999999999998E+031
   160	   2.0694799999999999E-002   34777100000000.000        7.5525599999999997E+031
   161	   2.0874399999999998E-002   35079600000000.000        7.6725400000000004E+031
   162	   2.1054000000000000E-002   35382200000000.000        7.7936499999999998E+031
   163	   2.1233599999999998E-002   35684800000000.000        7.9159100000000001E+031
   164	   2.1413199999999997E-002   35987300000000.000        8.0393099999999998E+031
   165	   2.1592799999999999E-002   36289900000000.000        8.1638599999999996E+031
   166	   2.1772399999999997E-002   36592500000000.000        8.2895599999999994E+031
   167	   2.1951999999999996E-002   36895200000000.000        8.4164200000000000E+031
   168	   2.2131599999999998E-002   37197800000000.000        8.5444399999999995E+031
   169	   2.2311199999999996E-002   37500400000000.000        8.6736299999999995E+031
   170	   2.2490800000000002E-002   37803100000000.000        8.8039900000000001E+031
   171	   2.2670400000000000E-002   38105800000000.000        8.9355199999999993E+031
   172	   2.2849999999999999E-002   38408400000000.000        9.0682300000000006E+031
   173	   2.3029600000000001E-002   38711100000000.000        9.2021200000000004E+031
   174	   2.3209199999999999E-002   39013800000000.000        9.3372000000000003E+031
   175	   2.3388799999999998E-002   39316500000000.000        9.4734700000000002E+031
   176	   2.3568400000000000E-002   39619300000000.000        9.6109300000000002E+031
   177	   2.3747999999999998E-002   39922000000000.000        9.7495999999999998E+031
   178	   2.3927599999999997E-002   40224700000000.000        9.8894599999999995E+031
   179	   2.4107199999999995E-002   40527500000000.000        1.0030499999999999E+032
   180	   2.4286799999999997E-002   40830300000000.000        1.0172800000000000E+032
   181	   2.4466399999999996E-002   41133100000000.000        1.0316300000000000E+032
   182	   2.4646000000000001E-002   41435900000000.000        1.0460999999999999E+032
   183	   2.4825600000000000E-002   41738700000000.000        1.0607000000000001E+032
   184	   2.5005199999999998E-002   42041500000000.000        1.0754100000000000E+032
   185	   2.5184800000000000E-002   42344300000000.000        1.0902500000000001E+032
   186	   2.5364399999999999E-002   42647200000000.000        1.1052200000000001E+032
   187	   2.5543999999999997E-002   42950000000000.000        1.1202999999999999E+032
