  0.28666E+16 0.13323E+37 0.20100E+16 0.98402E+00 0.98363E+00 0.27448E+02 0.10000E+01
  0.25418E+16 0.10552E+37 0.18542E+16 0.91258E+00 0.91268E+00 0.27082E+02 0.10000E+01
  0.22630E+16 0.83521E+36 0.17102E+16 0.84112E+00 0.84109E+00 0.26530E+02 0.10000E+01
  0.20246E+16 0.66230E+36 0.15783E+16 0.77125E+00 0.77125E+00 0.25834E+02 0.10000E+01
  0.18171E+16 0.52472E+36 0.14562E+16 0.70292E+00 0.70292E+00 0.25021E+02 0.10000E+01
  0.16361E+16 0.41567E+36 0.13435E+16 0.63703E+00 0.63702E+00 0.24126E+02 0.10000E+01
  0.14775E+16 0.32928E+36 0.12395E+16 0.57420E+00 0.57423E+00 0.23179E+02 0.10000E+01
  0.13380E+16 0.26097E+36 0.11435E+16 0.51484E+00 0.51481E+00 0.22404E+02 0.10080E+01
  0.12147E+16 0.20699E+36 0.10549E+16 0.45935E+00 0.45889E+00 0.21845E+02 0.10260E+01
  0.11054E+16 0.16448E+36 0.97334E+15 0.40819E+00 0.40710E+00 0.21469E+02 0.10530E+01
  0.10079E+16 0.13087E+36 0.89796E+15 0.36134E+00 0.35935E+00 0.21236E+02 0.10880E+01
  0.92061E+15 0.10438E+36 0.82845E+15 0.31891E+00 0.31588E+00 0.21159E+02 0.11320E+01
  0.84217E+15 0.83494E+35 0.76430E+15 0.28081E+00 0.27658E+00 0.21206E+02 0.11840E+01
  0.77152E+15 0.67054E+35 0.70517E+15 0.24692E+00 0.24148E+00 0.21366E+02 0.12440E+01
  0.70758E+15 0.54073E+35 0.65057E+15 0.21693E+00 0.21027E+00 0.21592E+02 0.13100E+01
  0.64955E+15 0.43835E+35 0.60015E+15 0.19060E+00 0.18249E+00 0.21896E+02 0.13830E+01
  0.59696E+15 0.35787E+35 0.55375E+15 0.16772E+00 0.15831E+00 0.22278E+02 0.14630E+01
  0.54899E+15 0.29418E+35 0.51087E+15 0.14785E+00 0.13715E+00 0.22694E+02 0.15480E+01
  0.50524E+15 0.24392E+35 0.47134E+15 0.13077E+00 0.11870E+00 0.23162E+02 0.16390E+01
  0.46522E+15 0.20410E+35 0.43483E+15 0.11612E+00 0.10293E+00 0.23663E+02 0.17350E+01
  0.42860E+15 0.17249E+35 0.40116E+15 0.10366E+00 0.89188E-01 0.24182E+02 0.18350E+01
  0.39514E+15 0.14746E+35 0.37017E+15 0.93142E-01 0.77585E-01 0.24739E+02 0.19400E+01
  0.36437E+15 0.12737E+35 0.34153E+15 0.84255E-01 0.67702E-01 0.25301E+02 0.20480E+01
  0.33606E+15 0.11123E+35 0.31507E+15 0.76808E-01 0.59414E-01 0.25885E+02 0.21600E+01
  0.31000E+15 0.98136E+34 0.29061E+15 0.70576E-01 0.52351E-01 0.26465E+02 0.22740E+01
  0.28614E+15 0.87573E+34 0.26817E+15 0.65458E-01 0.46458E-01 0.27069E+02 0.23910E+01
  0.26413E+15 0.78860E+34 0.24740E+15 0.61221E-01 0.41555E-01 0.27678E+02 0.25100E+01
  0.24391E+15 0.71687E+34 0.22830E+15 0.57773E-01 0.37675E-01 0.28305E+02 0.26310E+01
  0.22514E+15 0.65591E+34 0.21055E+15 0.54920E-01 0.34461E-01 0.28928E+02 0.27530E+01
  0.20797E+15 0.60494E+34 0.19430E+15 0.52638E-01 0.31724E-01 0.29575E+02 0.28760E+01
  0.19203E+15 0.56091E+34 0.17922E+15 0.50776E-01 0.29878E-01 0.30238E+02 0.30000E+01
  0.17735E+15 0.52248E+34 0.16534E+15 0.49250E-01 0.28328E-01 0.30905E+02 0.31230E+01
